Building,Business,Entertainment,Medicine,Otdoor,Religion,Residence,Restaurant,School,Shopping,Snackbar,Sports,Traffic
254,0,0,0.428571,0.357143,0.0714286,0,0,0.142857,0,0,0,0,0
255,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0
256,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
257,0.1,0.1,0.7,0.1,0,0,0,0,0,0,0,0,0
258,0.2,0,0.6,0.2,0,0,0,0,0,0,0,0,0
259,0.125,0,0.5,0.25,0,0,0.0625,0,0,0,0.0625,0,0
260,0.1,0,0.4,0.3,0,0,0.1,0,0,0,0.1,0,0
261,0.0833333,0.0833333,0.5,0.166667,0,0,0.0833333,0,0,0,0.0833333,0,0
262,0,0.181818,0.454545,0.0909091,0.0909091,0,0,0,0,0,0.181818,0,0
263,0,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0
264,0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0
265,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
266,0,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0
267,0,0.176471,0.529412,0.176471,0.0588235,0,0.0588235,0,0,0,0,0,0
268,0.0416667,0.0833333,0.458333,0.333333,0,0,0.0416667,0,0,0,0,0.0416667,0
269,0.0434783,0.0869565,0.478261,0.304348,0,0,0.0434783,0,0,0,0,0.0434783,0
270,0,0,0.538462,0.461538,0,0,0,0,0,0,0,0,0
271,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0
272,0.285714,0,0.285714,0.428571,0,0,0,0,0,0,0,0,0
273,0,0.111111,0.444444,0.444444,0,0,0,0,0,0,0,0,0
274,0,0.1,0.5,0.3,0.1,0,0,0,0,0,0,0,0
275,0,0.142857,0.571429,0,0.142857,0,0,0,0,0,0,0,0.142857
276,0,0.142857,0.428571,0.142857,0.142857,0,0,0,0,0,0,0,0.142857
277,0,0.142857,0.428571,0.285714,0.142857,0,0,0,0,0,0,0,0
278,0,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0
279,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0
280,0,0.111111,0.555556,0.111111,0.111111,0,0,0,0,0,0,0,0.111111
281,0,0.0909091,0.454545,0.181818,0.181818,0,0,0,0,0,0,0,0.0909091
282,0.230769,0,0.384615,0.230769,0,0,0.0769231,0,0,0,0,0,0.0769231
283,0,0,0.375,0.625,0,0,0,0,0,0,0,0,0
284,0.230769,0,0.384615,0.230769,0,0,0.0769231,0,0,0,0,0,0.0769231
285,0,0.111111,0.555556,0.333333,0,0,0,0,0,0,0,0,0
286,0,0.166667,0.5,0.333333,0,0,0,0,0,0,0,0,0
287,0,0.166667,0.5,0.333333,0,0,0,0,0,0,0,0,0
288,0.142857,0.142857,0.428571,0.285714,0,0,0,0,0,0,0,0,0
289,0,0.166667,0.5,0.333333,0,0,0,0,0,0,0,0,0
290,0.142857,0.142857,0.428571,0.285714,0,0,0,0,0,0,0,0,0
291,0,0,0.466667,0.333333,0.0666667,0,0,0,0,0,0,0.0666667,0.0666667
292,0,0,0.625,0.125,0.125,0,0,0,0,0,0,0,0.125
293,0.0434783,0,0.608696,0.217391,0,0,0.0869565,0,0,0,0,0,0.0434783
294,0.0666667,0,0.733333,0.0666667,0,0,0.0666667,0,0,0,0,0,0.0666667
295,0.1875,0,0.625,0.1875,0,0,0,0,0,0,0,0,0
296,0.25,0.0625,0.5,0.0625,0.0625,0,0,0,0,0,0,0.0625,0
297,0.0833333,0.0833333,0.583333,0.0833333,0,0,0,0,0,0,0,0.0833333,0.0833333
298,0.0769231,0.153846,0.538462,0.0769231,0,0,0,0,0,0,0,0.0769231,0.0769231
299,0.0344828,0.0689655,0.517241,0.310345,0,0,0.0344828,0,0,0,0,0.0344828,0
300,0.333333,0.111111,0.333333,0.111111,0,0.111111,0,0,0,0,0,0,0
301,0.294118,0.117647,0.352941,0.117647,0,0.117647,0,0,0,0,0,0,0
302,0.263158,0.105263,0.473684,0.105263,0.0526316,0,0,0,0,0,0,0,0
303,0.307692,0,0.538462,0.0769231,0.0769231,0,0,0,0,0,0,0,0
304,0.285714,0.0714286,0.5,0.0714286,0.0714286,0,0,0,0,0,0,0,0
305,0.28,0.08,0.44,0.08,0.04,0.08,0,0,0,0,0,0,0
306,0,0,1,0,0,0,0,0,0,0,0,0,0
307,0.181818,0,0.727273,0,0,0,0,0,0,0,0,0,0.0909091
308,0.277778,0,0.5,0.166667,0,0,0,0,0,0,0,0,0.0555556
309,0.25,0,0.5,0.222222,0,0,0.0277778,0,0,0,0,0,0
310,0,0,0.65,0.3,0,0,0.05,0,0,0,0,0,0
311,0,0,0.647059,0.294118,0,0,0.0588235,0,0,0,0,0,0
312,0,0,0.583333,0.333333,0,0,0.0833333,0,0,0,0,0,0
313,0,0,0.555556,0.444444,0,0,0,0,0,0,0,0,0
314,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0
315,0.28,0.08,0.44,0.08,0.04,0.08,0,0,0,0,0,0,0
316,0.333333,0.111111,0.333333,0.111111,0,0.111111,0,0,0,0,0,0,0
317,0.28,0.08,0.44,0.08,0.04,0.08,0,0,0,0,0,0,0
318,0.285714,0.0714286,0.5,0.0714286,0.0714286,0,0,0,0,0,0,0,0
319,0.285714,0.0714286,0.5,0.0714286,0.0714286,0,0,0,0,0,0,0,0
320,0.315789,0.105263,0.368421,0.105263,0,0.105263,0,0,0,0,0,0,0
321,0.269231,0.115385,0.423077,0.0769231,0.0384615,0.0769231,0,0,0,0,0,0,0
322,0.133333,0.133333,0.466667,0.0666667,0.0666667,0,0,0,0,0,0,0.0666667,0.0666667
323,0.25,0.125,0.416667,0.125,0,0.0416667,0,0,0,0,0,0,0.0416667
324,0.25,0.1875,0.375,0.125,0,0.0625,0,0,0,0,0,0,0
325,0.294118,0.117647,0.352941,0.117647,0,0.117647,0,0,0,0,0,0,0
326,0.294118,0.117647,0.352941,0.117647,0,0.117647,0,0,0,0,0,0,0
327,0.2,0.133333,0.433333,0.1,0.0333333,0.0333333,0,0,0,0,0,0.0333333,0.0333333
328,0.285714,0.0952381,0.47619,0.0952381,0.047619,0,0,0,0,0,0,0,0
329,0,0.0322581,0.612903,0.258065,0,0,0.0322581,0,0,0,0,0.0322581,0.0322581
